element_library,object_kind,name,icon_key,icon_path,notes
ember,SubComponent,ShmemGetvDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetvFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetvIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetvLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemHotAtomicIncIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemHotAtomicIncLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemHotAtomicIncV2IntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemHotAtomicIncV2LongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemNSAtomicIncIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemNSAtomicIncV2IntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutvDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutvFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutvIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemPutvLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemReductionDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemReductionFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemReductionIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemReductionLongLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemReductionLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemRing2IntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemRingIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemSwapIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemSwapLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemTestMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemWaitIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemWaitLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemWaitUntilIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemWaitUntilLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,StopMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Sweep2DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Sweep3DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,TestMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,TestanyMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,TrafficGenMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,TriCountMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,UnstructuredMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,WaitanyMotif,comm_pattern,comm_pattern.png,
firefly,Component,loopBack,loopback,loopback.png,
firefly,SubComponent,ctrlMsg,net_ctrl,net_ctrl.png,"Handles setup/teardown of communication channels, connection management, and control messages before data transfer."
firefly,SubComponent,ctrlMsgMemory,net_ctrlMsg_mem,net_ctrlMsg_mem.png,Sets TX/RX mem copy modules and memory region pin delays/page size for control messages.
firefly,SubComponent,ctrlMsgProto,net_ctrlMsg_mem,net_ctrlMsg_mem.png,
firefly,SubComponent,detailedinterface,memory_operations,memory_operations.png,Sets max pending loads/stores and frequency.
firefly,SubComponent,functionSM,net_op_sate_machine,net_op_sate_machine.png,"State machine for collective and point-to-point operations such as Send, Recv, Allreduce, and Barrier."
firefly,SubComponent,hades,os_interface,os_interface.png,Central operating system subcomponent hosting the network stack and managing system resources for MPI/SHMEM communication system calls.
firefly,SubComponent,hadesMisc,generic_component,generic_component.png,
firefly,SubComponent,hadesMP,mpi_syscall,mpi_syscall.png,Sets function enter/return latencies for hades OS kernel call events.
firefly,SubComponent,hadesSHMEM,shmem_syscall,shmem_syscall.png,Sets SHMEM enter/return latencies and blocked-response return latency.
firefly,SubComponent,loopback,loopback,loopback.png,need to create
firefly,SubComponent,msgTiming,network_timing,network_timing.png,"Calculates TX/RX setup, post, and finish latencies."
firefly,SubComponent,SimpleMemory,nic_mem,nic_mem.png,Governs NIC interaction with host/NIC memory for MPI/SHMEM network communication.
gensa,Component,core,neuromorphic_cpu,neuromorphic_cpu.png,General-purpose neuromorphic processor core using LIF dynamics and spike messages.
